9/16/2022,6614318,Hospitalization
9/17/2022,6653586,Hospitalization
9/18/2022,6698896,Hospitalization
9/19/2022,6747783,Hospitalization
9/20/2022,6789594,Hospitalization
9/21/2022,6825950,Hospitalization
9/22/2022,6880902,Hospitalization
9/23/2022,6918293,Hospitalization
9/24/2022,6959842,Hospitalization
9/25/2022,7005046,Hospitalization
9/26/2022,7059627,Hospitalization
9/27/2022,7102322,Hospitalization
9/28/2022,7139620,Hospitalization
9/29/2022,7176980,Hospitalization
9/30/2022,7220677,Hospitalization
10/1/2022,7262735,Hospitalization
10/2/2022,7309153,Hospitalization
10/3/2022,7362733,Hospitalization
10/4/2022,7410512,Hospitalization
10/5/2022,7445575,Hospitalization
10/6/2022,7507988,Hospitalization
10/7/2022,7550850,Hospitalization
10/8/2022,7603867,Hospitalization
10/9/2022,7660249,Hospitalization
10/10/2022,7719211,Hospitalization
10/11/2022,7770859,Hospitalization
10/12/2022,7815642,Hospitalization
10/13/2022,7863658,Hospitalization
10/14/2022,7918051,Hospitalization
10/15/2022,7977904,Hospitalization
8/27/2022,179603,Death
8/28/2022,180729,Death
8/29/2022,181739,Death
8/30/2022,182610,Death
8/31/2022,182984,Death
9/1/2022,183472,Death
9/2/2022,184563,Death
9/3/2022,185639,Death
9/4/2022,186717,Death
9/5/2022,187697,Death
9/6/2022,188409,Death
9/7/2022,188820,Death
9/8/2022,189083,Death
9/9/2022,189541,Death
9/10/2022,190716,Death
9/11/2022,191631,Death
9/12/2022,192858,Death
9/13/2022,193559,Death
9/14/2022,193958,Death
9/15/2022,194408,Death
9/16/2022,195689,Death
9/17/2022,196686,Death
9/18/2022,197535,Death
9/19/2022,198484,Death
9/20/2022,199154,Death
9/21/2022,199367,Death
9/22/2022,199797,Death
9/23/2022,200738,Death
9/24/2022,201828,Death
9/25/2022,202713,Death
9/26/2022,203566,Death
9/27/2022,204335,Death
9/28/2022,204602,Death
9/29/2022,204952,Death
9/30/2022,205878,Death
10/1/2022,206852,Death
10/2/2022,207699,Death
10/3/2022,208564,Death
10/4/2022,209273,Death
10/5/2022,209606,Death
10/6/2022,210035,Death
10/7/2022,210756,Death
10/8/2022,211752,Death
10/9/2022,212680,Death
10/10/2022,213595,Death
10/11/2022,214187,Death
10/12/2022,214606,Death
10/13/2022,214957,Death
10/14/2022,215783,Death
10/15/2022,216792,Death
