5252022	-5	RetailRecreation
5262022	-4	RetailRecreation
5272022	-7	RetailRecreation
5282022	-9	RetailRecreation
5292022	-4	RetailRecreation
5302022	-11	RetailRecreation
5312022	-7	RetailRecreation
612022	-5	RetailRecreation
622022	-6	RetailRecreation
632022	-7	RetailRecreation
642022	-8	RetailRecreation
652022	-5	RetailRecreation
662022	-8	RetailRecreation
672022	-7	RetailRecreation
682022	-6	RetailRecreation
692022	-6	RetailRecreation
6102022	-8	RetailRecreation
6112022	-9	RetailRecreation
6122022	-6	RetailRecreation
6132022	-8	RetailRecreation
6142022	-7	RetailRecreation
6152022	-5	RetailRecreation
6162022	-6	RetailRecreation
6172022	-8	RetailRecreation
6182022	-7	RetailRecreation
6192022	-3	RetailRecreation
6202022	-7	RetailRecreation
6212022	-7	RetailRecreation
6222022	-7	RetailRecreation
6232022	-7	RetailRecreation
6242022	-9	RetailRecreation
6252022	-10	RetailRecreation
6262022	-7	RetailRecreation
6272022	-9	RetailRecreation
6282022	-7	RetailRecreation
6292022	-6	RetailRecreation
6302022	-4	RetailRecreation
712022	-5	RetailRecreation
722022	-10	RetailRecreation
732022	-5	RetailRecreation
742022	-20	RetailRecreation
752022	-9	RetailRecreation
762022	-8	RetailRecreation
772022	-7	RetailRecreation
782022	-10	RetailRecreation
792022	-11	RetailRecreation
7102022	-7	RetailRecreation
7112022	-9	RetailRecreation
7122022	-8	RetailRecreation
7132022	-7	RetailRecreation
7142022	-8	RetailRecreation
7152022	-11	RetailRecreation
7162022	-11	RetailRecreation
7172022	-8	RetailRecreation
7182022	-10	RetailRecreation
7192022	-8	RetailRecreation
7202022	-7	RetailRecreation
7212022	-8	RetailRecreation
7222022	-10	RetailRecreation
7232022	-11	RetailRecreation
7242022	-8	RetailRecreation
7252022	-10	RetailRecreation
7262022	-7	RetailRecreation
7272022	-6	RetailRecreation
7282022	-6	RetailRecreation
7292022	-8	RetailRecreation
7302022	-9	RetailRecreation
7312022	-6	RetailRecreation
812022	-6	RetailRecreation
822022	-5	RetailRecreation
832022	-4	RetailRecreation
842022	-5	RetailRecreation
852022	-8	RetailRecreation
862022	-9	RetailRecreation
872022	-6	RetailRecreation
882022	-8	RetailRecreation
892022	-7	RetailRecreation
8102022	-6	RetailRecreation
8112022	-6	RetailRecreation
8122022	-9	RetailRecreation
8132022	-9	RetailRecreation
8142022	-5	RetailRecreation
8152022	-7	RetailRecreation
8162022	-6	RetailRecreation
8172022	-5	RetailRecreation
8182022	-6	RetailRecreation
8192022	-8	RetailRecreation
8202022	-8	RetailRecreation
8212022	-6	RetailRecreation
8222022	-9	RetailRecreation
8232022	-8	RetailRecreation
8242022	-7	RetailRecreation
8252022	-7	RetailRecreation
8262022	-9	RetailRecreation
1222022	-10	GroceryPharmacy
1232022	-12	GroceryPharmacy
1242022	-8	GroceryPharmacy
1252022	-6	GroceryPharmacy
1262022	-6	GroceryPharmacy
1272022	-4	GroceryPharmacy
1282022	-5	GroceryPharmacy
1292022	-15	GroceryPharmacy
1302022	-11	GroceryPharmacy
1312022	-4	GroceryPharmacy
212022	4	GroceryPharmacy
222022	-4	GroceryPharmacy
232022	-12	GroceryPharmacy
242022	-15	GroceryPharmacy
252022	-6	GroceryPharmacy
262022	-7	GroceryPharmacy
272022	-5	GroceryPharmacy
282022	-3	GroceryPharmacy
292022	-2	GroceryPharmacy
2102022	-1	GroceryPharmacy
2112022	-3	GroceryPharmacy
2122022	2	GroceryPharmacy
2132022	4	GroceryPharmacy
2142022	6	GroceryPharmacy
2152022	-5	GroceryPharmacy
2162022	-4	GroceryPharmacy
2172022	-7	GroceryPharmacy
2182022	-9	GroceryPharmacy
2192022	-6	GroceryPharmacy
2202022	-6	GroceryPharmacy
2212022	-4	GroceryPharmacy
2222022	-7	GroceryPharmacy
2232022	-6	GroceryPharmacy
2242022	-7	GroceryPharmacy
2252022	-12	GroceryPharmacy
2262022	-6	GroceryPharmacy
2272022	-6	GroceryPharmacy
2282022	-4	GroceryPharmacy
312022	-1	GroceryPharmacy
322022	-3	GroceryPharmacy
332022	-2	GroceryPharmacy
342022	-7	GroceryPharmacy
352022	-4	GroceryPharmacy
362022	-5	GroceryPharmacy
372022	-6	GroceryPharmacy
382022	-5	GroceryPharmacy
392022	-7	GroceryPharmacy
3102022	-5	GroceryPharmacy
3112022	-8	GroceryPharmacy
3122022	-13	GroceryPharmacy
3132022	-8	GroceryPharmacy
3142022	-5	GroceryPharmacy
3152022	-4	GroceryPharmacy
3162022	-4	GroceryPharmacy
3172022	-5	GroceryPharmacy
3182022	-9	GroceryPharmacy
3192022	-6	GroceryPharmacy
3202022	-5	GroceryPharmacy
3212022	-6	GroceryPharmacy
3222022	-6	GroceryPharmacy
3232022	-7	GroceryPharmacy
3242022	-6	GroceryPharmacy
3252022	-8	GroceryPharmacy
3262022	-6	GroceryPharmacy
